
Logging initialized using configuration in file:/etc/hive-1.2.0/hive-log4j.properties
Hive history file=/home/hive/log/tnystrand/hive_job_log_b4df1efb-5ccc-44ca-b938-56a935e3b677_1248489398.txt
Partition cluster_metrics_prod_2.container_time_series{system=airpush, date=2015-11-04} stats: [numFiles=1, numRows=26738, totalSize=221067, rawDataSize=26871690]
Partition cluster_metrics_prod_2.container_time_series{system=dlx, date=2015-10-14} stats: [numFiles=1, numRows=809829, totalSize=4153462, rawDataSize=813547052]
Partition cluster_metrics_prod_2.container_time_series{system=owneriq, date=2015-07-12	} stats: [numFiles=1, numRows=99847, totalSize=696954, rawDataSize=100297191]
Partition cluster_metrics_prod_2.container_time_series{system=jungledata, date=2015-10-20} stats: [numFiles=1, numRows=19923, totalSize=73096, rawDataSize=19986092]
Partition cluster_metrics_prod_2.container_time_series{system=iheartradio, date=2016-02-24} stats: [numFiles=3, numRows=198531, totalSize=1480953, rawDataSize=200930987]
Partition cluster_metrics_prod_2.container_time_series{system=wikimedia, date=2015-11-03} stats: [numFiles=1, numRows=143, totalSize=3764, rawDataSize=143143]
Partition cluster_metrics_prod_2.container_time_series{system=thasos, date=2015-11-30} stats: [numFiles=1, numRows=16, totalSize=2609, rawDataSize=16048]
Partition cluster_metrics_prod_2.container_time_series{system=owneriq, date=2016-01-25} stats: [numFiles=4, numRows=10695692, totalSize=38016665, rawDataSize=10727092862]
Partition cluster_metrics_prod_2.container_time_series{system=yellowhammer, date=2015-11-02} stats: [numFiles=1, numRows=165409, totalSize=257478, rawDataSize=165904027]
Partition cluster_metrics_prod_2.container_time_series{system=glu, date=2015-09-08	} stats: [numFiles=1, numRows=822409, totalSize=4586054, rawDataSize=827764463]
Partition cluster_metrics_prod_2.container_time_series{system=ms3, date=2016-04-25} stats: [numFiles=3, numRows=651425, totalSize=2772045, rawDataSize=666844140]
Partition cluster_metrics_prod_2.container_time_series{system=ms22, date=2015-06-07	} stats: [numFiles=1, numRows=465, totalSize=5648, rawDataSize=468255]
